Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
pengguna pengguna pengguna provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara *** mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
pengguna dari pada gue ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna wkwk *** lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan *** makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
a orang yang suka ke konserkonser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0,0,0,0
pengguna sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue *** ***,1,1,1,0,0,0,0,1,0,1,0,0
saya suka video pengguna uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya *** bersungguh kalau hal hal islam tidak diindahkan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna lah lah lahm hem semua diam semua bisunkita coba tanya sama rumput yang bergoyang nxe2x99xabxe2x99xabxe2x99xabxe2x99xaaxe2x99xaaxe2x99xaa,0,0,0,0,0,0,0,0,0,0,0,0
apabila *** membisikkan waswas kepadamu mintalah perlindungan kepada allah qs dan fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna kalau kamu atheisngapain sibuk dengan agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi ***,1,1,1,0,0,0,0,0,1,0,0,1
pengguna selamat hari kartini,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna *** homonhati2 terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
pengguna iya ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
pengguna yang mengajarkan solata saja itu orang asing dia hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
pengguna x kamu berbicara saja tidak benar bangkai,1,1,1,0,0,0,0,0,1,1,0,0
pengguna pengguna kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik *** padahal negara negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa,1,0,0,1,0,1,0,0,0,0,1,0
kalau seumpama orang cina di usir paksa dari indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
pengguna bunda *** yuk,0,1,0,0,0,0,0,0,0,0,0,0
rt pengguna cina *** cina malingnusirchina httpstco9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
bung karno anti *** dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti *** atau pro *** karena keboohannya nnkalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi *** susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
pengguna wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas *** setiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna terus menurut kamu kitab suci agama apa yang di bilang om pengguna mendadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
pengguna suka menutup mata tidak ditutup pun sudah terlihat tertutup gara gara ***,0,0,0,0,0,0,0,0,0,0,0,0
pengguna saya sebagai muslim tidak merasa pak pengguna menistakan kitab suci alquran karena dalam alquran sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum,0,0,0,0,0,0,0,0,0,0,0,0
pengguna eh kasar kamu ***,1,1,1,0,0,0,0,0,1,1,0,0
bentar lagi gue rilis album the ontas wkwk,0,0,0,0,0,0,0,0,0,0,0,0
pengguna ada *** bang dia merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
*** banget gue mentwit apa barusan he,0,1,0,0,0,0,0,0,0,0,0,0
kamu *** atau bagaimana *** uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
pengguna awas bintitan kamu mengintip *** kucing,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna gue menyarankan tidak perlu banyak *** maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja *** sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh,1,1,1,0,1,0,0,0,0,1,0,0
jangan salah target bukan ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
pengguna pengguna masa baru kena tagar saja sudah kepanasan ingin tahu banget,1,0,1,0,0,0,0,0,1,1,0,0
maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belandadl tidak ada yang namanya kristen protestan yang ada cuma kristen khatoliknterjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutungnnnah sekarang anda saya k,0,0,0,0,0,0,0,0,0,0,0,0
apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak,0,0,0,0,0,0,0,0,0,0,0,0
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
pengguna pengguna dan yang takut dengan azan adalah ***,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna yang goblok itu adalah *** *** tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna pengguna pengguna wah ***,1,1,1,0,0,0,0,0,1,1,0,0
2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
padahal gubernur saat ini djarot mayoritas partai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka pengguna uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
pengguna *** rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
saat orang orang saling menuding *** asing asing sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna nah lah katanya anti asing,0,0,0,0,0,0,0,0,0,0,0,0
selamat pak pengguna semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
asyik menang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
pengguna yang saya ketahui bahwa diketapang banyak tenaga kerja asing *** yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,0,0,0,0,0,0,0,0,0,0,0,0
pengguna anak *** tidak jauh jauh dari hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
pengguna aku bom surat berharga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
pengguna istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun,0,0,0,0,0,0,0,0,0,0,0,0
pada 1979 house select committee on assassination hsca menemukan *** investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
pengguna tak terasa genap 1 tahun mendatang 17 april akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
pengguna ian ***,0,1,0,0,0,0,0,0,0,0,0,0
pengguna pengguna mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang *** orang yang maaf sejak lahir *** sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat *** itu juga pintar dan sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
pendaftaran calon presiden untuk saja belum dibuka sampai agustus normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham,1,0,0,1,0,0,0,0,1,0,1,0
sih *** sudah tau pemerintah *** *** ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya *** uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0
dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lo dan gue merasa jadi anak yang berengsek saja begitu ke laki laki,0,1,0,0,0,0,0,0,0,0,0,0
cina perusak bangsa usir setuju,1,0,0,1,0,1,0,0,0,0,0,1
secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
mari kita wujudkan pilihan kepala daerah kota bengkulu aman dan damai coki adem 86 98heru,0,0,0,0,0,0,0,0,0,0,0,0
mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantaraknp tidak ada kristen nusantarabudhahindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowok yang jago drasex mana sini *** sama adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
pengguna kroasia itu kafir tauuungapain belajar sama kapirudh lupa sama kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
pengguna pengguna lah bukan nya menteri soeharto ada yang ***,1,1,1,0,0,0,0,1,0,1,0,0
gue tau lah bukan yang dulu yang masih *** dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setoran memang cukup bangsat mana rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jakarta pusat pada selasa pukul waktu indonesia bagian barat perhaps pengguna,1,0,1,0,1,0,0,0,0,1,0,0
pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1
pengguna pengguna pengguna onta mati kalau kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0
uniform resource locator ahok tng mereka terus waswas hidupnya pengguna pengguna pengguna pengguna pengguna pengguna pengguna,1,0,1,0,0,0,0,0,1,1,0,0
itu baru di sul teng ini ekses akibat tersandera hutang cina,1,0,1,0,0,0,0,0,1,1,0,0
6 pride yunani keangkuhanharga dirikesombonganndikenal juga dengan sebutan hubrisvanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia *** dimata tuhandan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0
aku bertanya tujuan pada hatinlogikaku yang menjawab tapi hati tak tenangnaku bertanya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan *** di mata manusia tak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
pengguna tak hanya kurang bertaji nya komisi pemberantasan korupsi era initapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
rt pengguna admin *** di partai tololnpartai *** untuk orang ***,1,1,0,1,0,0,0,0,1,0,1,0
rt pengguna ayu ting ting goyang hot dekat raffi ahmad nagita slavina *** norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di pengguna,0,0,0,0,0,0,0,0,0,0,0,0
ppp jangan buruburu tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri saya butek soalnyaningin ku jawab pakai air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna kok gue ***,0,1,0,0,0,0,0,0,0,0,0,0
*** *** ingin disodok *** gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi saja yang mundur pengguna tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
pengguna berbicara apa itumulut kok seperti bancibeli kaca dulu lihat dirimu bro,1,1,1,0,0,0,0,1,0,1,0,0
pengguna ada amin rasisnada amat daninada ratna sih paiiitnada sih ontanada sih lobang anusnjdi jangan takut oi wonkehabisan obat penenang ya,1,1,1,0,0,0,0,0,1,1,0,0
pengguna tunggu komando imam *** cabul pengguna tai bir bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet berantakan pemecah belah persatuan hanya ada di *** ini,1,0,0,1,0,0,0,0,1,0,1,0
ih mengakui lebih pintar dari orang politik mengaca dulu oi tampang kamu saja kxc3xa6k orang *** pengguna wkwk,1,1,1,0,0,0,1,0,0,1,0,0
partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible lalu dilelang murah pada *** cina ntb contoh kasus partai demokrasi indonesia perjuangan mau menang dasar ***,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna tidak percaya sama mulut *** mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi maka peristiwa akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh susilo bambang yudhoyono tetapi jika jkwmegasby melawan prabowo mk pemilihan presiden selesai sudah jika 3 poros di pemilihan presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
rt pengguna pengguna jangan kayak *** kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp *** karena dapat menghambat agenda dan kepentingan merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna umuh begitu persibnpersib,1,1,0,1,0,0,0,0,1,0,1,0
pengguna pengguna buat film muslim pilih ahok mati enggak di disalatkan dijamin laris,1,0,1,0,0,0,0,0,1,1,0,0
tapi banu banu yahudi itu tentu beda dengan banu banu kristen suriah salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
pengguna eh kenapa muka merah merah itu tak dapat cendol ke bukan lah *** cuaca sekarang nih panas,0,1,0,0,0,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo dan aniessandi sebenarnya itu media menumpahkan sakit hati katak dan *** ehe,1,1,0,1,0,0,0,0,1,0,1,0
giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini rabu 11 april melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah di desa lobusiregar i tepatnya di rumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
sayang banget ya melihat perempuan kayak begini tidak ada status apa apa tetapi sudah menempel sama lakilaki sana sini haduhnnagita slavina blakblakan sebut ayu ting ting *** viva uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
pengguna jangan lupa juga kang umat katolik dan minoritas lainnya diperhatikan gubernur untuk semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna pengguna kan saya bukan *** sudah dibilangi dari kemarin masih ngeyelnsitu memaksa saya jadi ***,1,1,1,0,0,0,0,0,1,1,0,0
pengguna kelemahan gerindra itu ada di orang iniprabowo turun elektabilitasnya karena *** fadli zon surat pemberitahuan tahunan durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini,0,0,0,0,0,0,0,0,0,0,0,0
foto memang *** tetapi memiliki banyak arti yang susah diartikansma seperti kamu susah diartikanmau putus atau lanjut,0,0,0,0,0,0,0,0,0,0,0,0
pengguna wkwk aku sudah mengalaminya setibanya muncul grub wa an *** abdi hadi aka mbahku dan seketika aku mek kenal beberapa orang saja,0,0,0,0,0,0,0,0,0,0,0,0
ayah pres badar dan nuqaba paling boekkk dia nih hebat dalam bidang agama x takut natural killer tegur member sendiri dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu,0,0,0,0,0,0,0,0,0,0,0,0
seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allah ya rahman tun abdul razak ds pengguna malaysia memilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna haha sialaaan nih sih pengguna ternyata kalau lagi lapar presiden juga mau disikat sama dia,0,0,0,0,0,0,0,0,0,0,0,0
pengguna pengguna pengguna mau menasihati kali supaya tidak ugal ugalan nih *** eh tapi ini negeri sudah keburu ancornah sekarang saja ekonomi moral menikah kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
pengguna alah *** kebelet kenapa dikasihani orang makin sayang saya paknsetelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarinntar gue ceritakan duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
